,NAME,TYPE,STATE,2-yr,5-yr,10-yr,25-yr,50-yr,100-yr
0,Accomack,County,VA,1.11,1.11,1.12,1.13,1.14,1.16
1,Adams,County,PA,1.13,1.14,1.14,1.14,1.13,1.13
2,Albemarle,County,VA,1.13,1.13,1.14,1.14,1.15,1.16
3,Alexandria,City,VA,1.08,1.08,1.09,1.11,1.13,1.16
4,Allegany,County,MD,1.12,1.13,1.14,1.16,1.17,1.19
5,Allegany,County,NY,1.12,1.11,1.11,1.1,1.1,1.09
6,Alleghany,County,VA,1.12,1.13,1.14,1.16,1.17,1.18
7,Allegheny,County,PA,1.1,1.1,1.09,1.09,1.09,1.1
8,Amelia,County,VA,1.09,1.1,1.1,1.12,1.14,1.16
9,Amherst,County,VA,1.13,1.14,1.15,1.16,1.17,1.18
10,Anne Arundel,County,MD,1.09,1.08,1.09,1.1,1.11,1.13
11,Appomattox,County,VA,1.14,1.15,1.15,1.15,1.16,1.16
12,Arlington,County,VA,1.08,1.08,1.08,1.1,1.12,1.14
13,Armstrong,County,PA,1.1,1.11,1.11,1.13,1.14,1.16
14,Atlantic,County,NJ,1.12,1.12,1.12,1.13,1.13,1.14
15,Augusta,County,VA,1.13,1.14,1.14,1.13,1.13,1.12
16,Baltimore,County,MD,1.1,1.1,1.1,1.11,1.12,1.14
17,Baltimore,County,MD,1.1,1.1,1.1,1.11,1.12,1.15
18,Barbour,County,WV,1.08,1.08,1.09,1.09,1.1,1.1
19,Bath,County,VA,1.13,1.14,1.15,1.16,1.17,1.18
20,Beaver,County,PA,1.11,1.1,1.1,1.09,1.1,1.11
21,Bedford,County,PA,1.12,1.14,1.15,1.17,1.18,1.2
22,Bedford,County,VA,1.13,1.14,1.15,1.17,1.18,1.2
23,Berkeley,County,WV,1.14,1.14,1.14,1.14,1.13,1.13
24,Berks,County,PA,1.12,1.13,1.14,1.15,1.16,1.18
25,Blair,County,PA,1.12,1.13,1.14,1.15,1.16,1.17
26,Bland,County,VA,1.1,1.1,1.11,1.11,1.12,1.12
27,Boone,County,WV,1.1,1.1,1.1,1.1,1.11,1.12
28,Botetourt,County,VA,1.13,1.15,1.16,1.17,1.19,1.2
29,Bradford,County,PA,1.09,1.09,1.1,1.12,1.14,1.17
30,Braxton,County,WV,1.09,1.09,1.09,1.08,1.08,1.08
31,Bristol,City,VA,1.11,1.11,1.11,1.11,1.11,1.11
32,Bronx,County,NY,1.12,1.12,1.12,1.1,1.09,1.08
33,Brooke,County,WV,1.11,1.12,1.12,1.12,1.12,1.11
34,Broome,County,NY,1.1,1.1,1.11,1.12,1.13,1.14
35,Brunswick,County,VA,1.1,1.1,1.1,1.1,1.11,1.11
36,Buchanan,County,VA,1.1,1.1,1.1,1.1,1.1,1.11
37,Buckingham,County,VA,1.11,1.12,1.13,1.14,1.15,1.16
38,Bucks,County,PA,1.1,1.1,1.1,1.11,1.12,1.13
39,Buena Vista,City,VA,1.15,1.15,1.15,1.14,1.13,1.12
40,Burlington,County,NJ,1.1,1.1,1.1,1.1,1.1,1.11
41,Butler,County,PA,1.1,1.1,1.1,1.11,1.11,1.12
42,Cabell,County,WV,1.1,1.1,1.1,1.12,1.13,1.14
43,Calhoun,County,WV,1.12,1.13,1.13,1.13,1.13,1.13
44,Calvert,County,MD,1.09,1.09,1.09,1.1,1.11,1.13
45,Cambria,County,PA,1.08,1.09,1.1,1.11,1.13,1.15
46,Camden,County,NJ,1.11,1.11,1.11,1.11,1.11,1.12
47,Cameron,County,PA,1.11,1.1,1.1,1.1,1.11,1.11
48,Campbell,County,VA,1.14,1.14,1.15,1.15,1.15,1.16
49,Cape May,County,NJ,1.1,1.11,1.12,1.13,1.13,1.15
50,Carbon,County,PA,1.1,1.11,1.12,1.14,1.17,1.19
51,Caroline,County,MD,1.1,1.1,1.11,1.12,1.13,1.14
52,Caroline,County,VA,1.09,1.1,1.1,1.11,1.13,1.14
53,Carroll,County,MD,1.13,1.13,1.13,1.13,1.13,1.14
54,Carroll,County,VA,1.13,1.13,1.12,1.13,1.13,1.14
55,Cecil,County,MD,1.13,1.12,1.12,1.12,1.12,1.11
56,Centre,County,PA,1.12,1.13,1.13,1.14,1.14,1.14
57,Charles,County,MD,1.09,1.1,1.1,1.12,1.13,1.16
58,Charles City,County,VA,1.09,1.08,1.08,1.09,1.1,1.11
59,Charlotte,County,VA,1.11,1.12,1.12,1.13,1.13,1.14
60,Charlottesville,City,VA,1.12,1.12,1.13,1.14,1.16,1.18
61,Chemung,County,NY,1.1,1.11,1.11,1.12,1.13,1.14
62,Chenango,County,NY,1.1,1.1,1.1,1.1,1.11,1.12
63,Chesapeake,City,VA,1.1,1.11,1.12,1.12,1.13,1.14
64,Chester,County,PA,1.12,1.13,1.13,1.14,1.14,1.15
65,Chesterfield,County,VA,1.09,1.09,1.1,1.11,1.13,1.15
66,Clarion,County,PA,1.11,1.11,1.12,1.13,1.14,1.15
67,Clarke,County,VA,1.15,1.14,1.13,1.12,1.1,1.09
68,Clay,County,WV,1.08,1.08,1.08,1.08,1.09,1.1
69,Clearfield,County,PA,1.11,1.11,1.11,1.11,1.12,1.12
70,Clinton,County,PA,1.11,1.11,1.11,1.12,1.12,1.13
71,Colonial Heights,City,VA,1.08,1.09,1.09,1.11,1.13,1.16
72,Columbia,County,PA,1.11,1.13,1.14,1.17,1.19,1.22
73,Cortland,County,NY,1.11,1.1,1.11,1.11,1.13,1.14
74,Covington,City,VA,1.11,1.12,1.13,1.15,1.16,1.19
75,Craig,County,VA,1.13,1.14,1.15,1.16,1.16,1.17
76,Crawford,County,PA,1.11,1.11,1.12,1.13,1.14,1.15
77,Culpeper,County,VA,1.13,1.13,1.13,1.13,1.13,1.13
78,Cumberland,County,NJ,1.1,1.11,1.11,1.12,1.13,1.14
79,Cumberland,County,PA,1.14,1.15,1.16,1.16,1.16,1.16
80,Cumberland,County,VA,1.1,1.11,1.11,1.12,1.13,1.14
81,Danville,City,VA,1.13,1.13,1.13,1.14,1.15,1.17
82,Dauphin,County,PA,1.13,1.15,1.17,1.18,1.2,1.22
83,Delaware,County,NY,1.12,1.12,1.13,1.14,1.16,1.19
84,Delaware,County,PA,1.12,1.13,1.14,1.14,1.15,1.15
85,Dickenson,County,VA,1.1,1.1,1.1,1.1,1.11,1.12
86,Dinwiddie,County,VA,1.1,1.1,1.1,1.1,1.11,1.12
87,District of Columbia,County,DC,1.09,1.09,1.09,1.1,1.11,1.14
88,Doddridge,County,WV,1.08,1.07,1.07,1.08,1.08,1.09
89,Dorchester,County,MD,1.09,1.08,1.08,1.09,1.1,1.11
90,Elk,County,PA,1.11,1.1,1.1,1.1,1.11,1.11
91,Emporia,City,VA,1.07,1.07,1.08,1.09,1.1,1.12
92,Erie,County,PA,1.11,1.11,1.12,1.12,1.12,1.13
93,Essex,County,VA,1.09,1.09,1.09,1.1,1.1,1.11
94,Fairfax,County,VA,1.08,1.08,1.08,1.1,1.12,1.14
95,Fairfax,City,VA,1.07,1.07,1.07,1.08,1.1,1.12
96,Falls Church,City,VA,1.08,1.08,1.08,1.09,1.11,1.13
97,Fauquier,County,VA,1.13,1.13,1.14,1.14,1.14,1.14
98,Fayette,County,PA,1.09,1.08,1.09,1.09,1.1,1.11
99,Fayette,County,WV,1.09,1.1,1.1,1.1,1.1,1.1
100,Floyd,County,VA,1.14,1.13,1.13,1.13,1.14,1.14
101,Fluvanna,County,VA,1.12,1.13,1.14,1.16,1.17,1.19
102,Forest,County,PA,1.12,1.12,1.12,1.12,1.13,1.14
103,Franklin,County,PA,1.13,1.13,1.14,1.15,1.16,1.17
104,Franklin,County,VA,1.13,1.14,1.15,1.17,1.18,1.19
105,Franklin,City,VA,1.1,1.11,1.11,1.12,1.12,1.13
106,Frederick,County,MD,1.13,1.13,1.13,1.13,1.13,1.13
107,Frederick,County,VA,1.14,1.15,1.15,1.14,1.14,1.14
108,Fredericksburg,City,VA,1.1,1.11,1.12,1.13,1.14,1.16
109,Fulton,County,PA,1.14,1.15,1.16,1.17,1.18,1.2
110,Galax,City,VA,1.12,1.11,1.1,1.1,1.1,1.11
111,Garrett,County,MD,1.09,1.09,1.09,1.1,1.1,1.11
112,Giles,County,VA,1.12,1.13,1.13,1.14,1.14,1.15
113,Gilmer,County,WV,1.11,1.11,1.11,1.1,1.09,1.09
114,Gloucester,County,NJ,1.12,1.12,1.12,1.12,1.12,1.12
115,Gloucester,County,VA,1.09,1.09,1.09,1.09,1.1,1.11
116,Goochland,County,VA,1.1,1.11,1.12,1.14,1.16,1.17
117,Grant,County,WV,1.09,1.1,1.11,1.12,1.13,1.14
118,Grayson,County,VA,1.12,1.12,1.12,1.11,1.11,1.11
119,Greenbrier,County,WV,1.11,1.12,1.13,1.13,1.14,1.15
120,Greene,County,NY,1.15,1.16,1.17,1.18,1.19,1.2
121,Greene,County,PA,1.12,1.12,1.11,1.11,1.11,1.12
