,NAME,TYPE,STATE,2-yr,5-yr,10-yr,25-yr,50-yr,100-yr
0,Accomack,County,VA,1.06,1.01,0.95,0.83,0.71,0.55
1,Adams,County,PA,1.05,1.05,1.02,0.93,0.81,0.59
2,Albemarle,County,VA,0.96,0.94,0.94,0.94,0.95,0.7
3,Alexandria,City,VA,0.97,0.87,0.82,0.67,0.58,0.46
4,Allegany,County,MD,1.01,0.99,0.98,0.94,0.9,0.7
5,Allegany,County,NY,0.95,0.94,0.95,0.96,0.85,0.68
6,Alleghany,County,VA,1.04,0.98,0.88,0.7,0.57,0.5
7,Allegheny,County,PA,1.01,0.99,0.98,0.93,0.85,0.58
8,Amelia,County,VA,1.01,1.02,0.99,0.86,0.76,0.48
9,Amherst,County,VA,1.03,1.02,1.0,0.92,0.83,0.67
10,Anne Arundel,County,MD,1.0,0.96,0.94,0.91,0.89,0.59
11,Appomattox,County,VA,1.06,1.04,1.0,0.95,0.89,0.63
12,Arlington,County,VA,0.97,0.87,0.82,0.67,0.58,0.46
13,Armstrong,County,PA,1.02,0.99,0.93,0.88,0.83,0.51
14,Atlantic,County,NJ,1.06,1.05,1.04,0.99,0.92,0.61
15,Augusta,County,VA,0.97,0.95,0.95,0.86,0.8,0.68
16,Baltimore,County,MD,0.98,0.96,0.96,0.96,0.97,0.66
17,Baltimore,County,MD,1.0,0.98,0.96,0.94,0.94,0.61
18,Barbour,County,WV,1.03,1.01,0.99,0.89,0.78,0.54
19,Bath,County,VA,1.02,1.0,0.94,0.83,0.69,0.59
20,Beaver,County,PA,1.0,0.98,0.97,0.87,0.78,0.54
21,Bedford,County,PA,1.03,1.02,1.01,0.96,0.93,0.68
22,Bedford,County,VA,1.06,1.04,1.02,1.01,0.98,0.85
23,Berkeley,County,WV,1.09,1.07,1.05,0.99,0.91,0.7
24,Berks,County,PA,0.98,0.95,0.94,0.93,0.92,0.63
25,Blair,County,PA,1.07,1.04,1.02,0.97,0.95,0.63
26,Bland,County,VA,1.09,1.09,1.08,1.08,1.09,0.74
27,Boone,County,WV,1.08,1.03,0.95,0.8,0.66,0.58
28,Botetourt,County,VA,1.07,1.02,0.96,0.86,0.79,0.64
29,Bradford,County,PA,1.03,1.05,0.94,0.77,0.65,0.74
30,Braxton,County,WV,1.05,1.0,0.95,0.88,0.8,0.54
31,Bristol,City,VA,1.09,1.0,0.94,0.81,0.66,0.57
